latitude,longitude,Meters,ID,MeanElevation
32.340265100000003,-110.716693090000007,10.0000000,1,1485.000000000000000
32.340323400000003,-110.716774119999997,20.0000000,2,1482.000000000000000
32.340381700000002,-110.716855150000001,30.0000000,3,1482.000000000000000
32.340449900000003,-110.716924520000006,40.0000000,4,1482.000000000000000
32.340518650000000,-110.716993239999994,50.0000000,5,1482.000000000000000
32.340587409999998,-110.717061970000003,60.0000000,6,1482.000000000000000
32.340656160000002,-110.717130699999998,70.0000000,7,1482.000000000000000
32.340724909999999,-110.717199429999994,80.0000000,8,1485.000000000000000
32.340794500000001,-110.717266760000001,90.0000000,9,1485.000000000000000
32.340872109999999,-110.717320839999999,100.0000000,10,1485.000000000000000
32.340949719999998,-110.717374930000005,110.0000000,11,1485.000000000000000
32.341028809999997,-110.717425789999993,120.0000000,12,1485.000000000000000
32.341109570000000,-110.717473049999995,130.0000000,13,1485.000000000000000
32.341190320000003,-110.717520309999998,140.0000000,14,1485.000000000000000
32.341271069999998,-110.717567570000000,150.0000000,15,1486.000000000000000
32.341350820000002,-110.717617129999994,160.0000000,16,1486.000000000000000
32.341430449999997,-110.717666980000004,170.0000000,17,1486.000000000000000
32.341510079999999,-110.717716820000007,180.0000000,18,1486.000000000000000
32.341589710000001,-110.717766659999995,190.0000000,19,1488.000000000000000
32.341669330000002,-110.717816510000006,200.0000000,20,1488.000000000000000
32.341748959999997,-110.717866349999994,210.0000000,21,1488.000000000000000
32.341828589999999,-110.717916200000005,220.0000000,22,1488.000000000000000
32.341908410000002,-110.717965509999999,230.0000000,23,1488.000000000000000
32.341993979999998,-110.717998989999998,240.0000000,24,1488.000000000000000
32.342079560000002,-110.718032469999997,250.0000000,25,1488.000000000000000
32.342165129999998,-110.718065949999996,260.0000000,26,1488.000000000000000
32.342250710000002,-110.718099429999995,270.0000000,27,1488.000000000000000
32.342336279999998,-110.718132920000002,280.0000000,28,1488.000000000000000
32.342423189999998,-110.718160609999998,290.0000000,29,1497.000000000000000
32.342511420000001,-110.718182549999995,300.0000000,30,1497.000000000000000
32.342599640000003,-110.718204490000005,310.0000000,31,1497.000000000000000
32.342687869999999,-110.718226430000001,320.0000000,32,1497.000000000000000
32.342776100000002,-110.718248369999998,330.0000000,33,1497.000000000000000
32.342864620000000,-110.718268510000001,340.0000000,34,1497.000000000000000
32.342953440000002,-110.718286800000001,350.0000000,35,1497.000000000000000
32.343042269999998,-110.718305090000001,360.0000000,36,1497.000000000000000
32.343131100000001,-110.718323380000001,370.0000000,37,1497.000000000000000
32.343220379999998,-110.718337280000000,380.0000000,38,1505.000000000000000
32.343310310000000,-110.718344999999999,390.0000000,39,1505.000000000000000
32.343400250000002,-110.718352719999999,400.0000000,40,1505.000000000000000
32.343490199999998,-110.718359969999995,410.0000000,41,1505.000000000000000
32.343580299999999,-110.718364390000005,420.0000000,42,1505.000000000000000
32.343670390000000,-110.718368810000001,430.0000000,43,1505.000000000000000
32.343760490000001,-110.718373240000005,440.0000000,44,1505.000000000000000
